STATION_NAME,DATE,TMIN,TMAX
BOULDER CO US,20190101,2,15
BOULDER CO US,20190102,1,41
BOULDER CO US,20190103,22,56
BOULDER CO US,20190104,17,61
BOULDER CO US,20190105,32,60
BOULDER CO US,20190106,30,57
BOULDER CO US,20190107,34,51
BOULDER CO US,20190108,23,46
BOULDER CO US,20190109,23,50
BOULDER CO US,20190110,29,58
BOULDER CO US,20190111,32,45
BOULDER CO US,20190112,29,39
BOULDER CO US,20190113,18,41
BOULDER CO US,20190114,17,51
BOULDER CO US,20190115,23,51
BOULDER CO US,20190116,29,53
BOULDER CO US,20190117,32,57
BOULDER CO US,20190118,31,50
BOULDER CO US,20190119,20,51
BOULDER CO US,20190120,35,54
BOULDER CO US,20190121,23,51
BOULDER CO US,20190122,23,44
BOULDER CO US,20190123,15,45
BOULDER CO US,20190124,19,37
BOULDER CO US,20190125,13,41
BOULDER CO US,20190126,21,48
BOULDER CO US,20190127,31,53
BOULDER CO US,20190128,18,49
BOULDER CO US,20190129,7,32
BOULDER CO US,20190130,7,49
BOULDER CO US,20190131,23,50
BOULDER CO US,20190201,24,59
BOULDER CO US,20190202,30,59
BOULDER CO US,20190203,36,63
BOULDER CO US,20190204,37,54
BOULDER CO US,20190205,16,47
BOULDER CO US,20190206,12,37
BOULDER CO US,20190207,-9,20
BOULDER CO US,20190208,-4,33
BOULDER CO US,20190209,11,44
BOULDER CO US,20190210,18,32
BOULDER CO US,20190211,9,36
BOULDER CO US,20190212,19,50
BOULDER CO US,20190213,31,57
BOULDER CO US,20190214,36,56
BOULDER CO US,20190215,21,57
BOULDER CO US,20190216,18,52
BOULDER CO US,20190217,21,36
BOULDER CO US,20190218,7,25
BOULDER CO US,20190219,12,20
BOULDER CO US,20190220,7,35
BOULDER CO US,20190221,10,34
BOULDER CO US,20190222,20,29
BOULDER CO US,20190223,15,41
BOULDER CO US,20190224,28,47
BOULDER CO US,20190225,15,54
BOULDER CO US,20190226,20,52
BOULDER CO US,20190227,15,45
BOULDER CO US,20190228,29,55
BOULDER CO US,20190301,28,54
