Alabama,AL,22,1702
Alaska,AK,49,1784
Arizona,AZ,48,1776
Arkansas,AR,25,1686
California,CA,31,1769
Colorado,CO,38,1858
Connecticut,CT,5,1634
Delaware,DE,1,1638
Florida,FL,27,1565
Georgia,GA,4,1733
Hawaii,HI,50,1820
Idaho,ID,43,1842
Illinois,IL,21,1720
Indiana,IN,19,1733
Iowa,IA,29,1788
Kansas,KS,34,1727
Kentucky,KY,15,1774
Louisiana,LA,18,1699
Maine,ME,23,1624
Maryland,MD,7,1634
Massachusetts,MA,6,1620
Michigan,MI,26,1668
Minnesota,MN,32,1805
Mississippi,MS,20,1699
Missouri,MO,24,1735
Montana,MT,41,1809
Nebraska,NE,37,1823
Nevada,NV,36,1849
New Hampshire,NH,9,1623
New Jersey,NJ,3,1660
New Mexico,NM,47,1610
New York,NY,11,1614
North Carolina,NC,12,1660
North Dakota,ND,39,1812
Ohio,OH,17,1788
Oklahoma,OK,46,1889
Oregon,OR,33,1811
Pennsylvania,PA,2,1682
Rhode Island,RI,13,1636
South Carolina,SC,8,1670
South Dakota,SD,40,1859
Tennessee,TN,16,1769
Texas,TX,28,1682
Utah,UT,45,1847
Vermont,VT,14,1724
Virginia,VA,10,1607
Washington,WA,42,1811
West Virginia,WV,35,1727
Wisconsin,WI,30,1766
Wyoming,WY,44,1834
